"","onset","terminus","vertex.id","onset.censored","terminus.censored","duration"
"151",2007.3,2021.3,157,FALSE,FALSE,167
"152",1969.2,2021.3,158,FALSE,FALSE,627
"153",2007.4,2021.3,159,FALSE,FALSE,163
"154",1998.4,2021.3,160,FALSE,FALSE,272
"155",2018.3,2021.3,161,FALSE,FALSE,34
"156",2020.4,2021.3,162,FALSE,FALSE,9
"157",2019.4,2021.3,163,FALSE,FALSE,19
"158",2019.2,2021.3,165,FALSE,FALSE,25
"159",2016.4,2021.3,166,FALSE,FALSE,58
"160",2019.1,2021.3,167,FALSE,FALSE,28
"161",2018.1,2021.3,168,FALSE,FALSE,41
"162",2017.4,2021.3,169,FALSE,FALSE,45
"163",2007.4,2021.3,170,FALSE,FALSE,165
"164",2017.3,2021.3,171,FALSE,FALSE,48
"165",2019.1,2021.3,172,FALSE,FALSE,29
"166",2020.1,2021.3,173,FALSE,FALSE,17
"167",2018.2,2021.3,174,FALSE,FALSE,38
"168",2020.4,2021.3,175,FALSE,FALSE,9
"169",2019.1,2021.3,176,FALSE,FALSE,29
"170",2018.2,2021.3,177,FALSE,FALSE,38
"171",2018.3,2021.3,178,FALSE,FALSE,34
"172",2018.1,2021.3,179,FALSE,FALSE,40
"173",2017.2,2021.3,180,FALSE,FALSE,51
"174",2009.3,2021.3,181,FALSE,FALSE,142
"175",2012.1,2021.3,182,FALSE,FALSE,113
"176",2019.2,2021.3,183,FALSE,FALSE,25
"177",2009.4,2021.3,184,FALSE,FALSE,140
"178",2013.3,2021.3,185,FALSE,FALSE,94
"179",1993.4,2021.3,186,FALSE,FALSE,333
"180",1994.4,2021.3,187,FALSE,FALSE,321
"181",2020.4,2021.3,188,FALSE,FALSE,9
"182",2018.4,2021.3,189,FALSE,FALSE,32
"183",2018.3,2021.3,190,FALSE,FALSE,36
"184",2019.3,2021.3,191,FALSE,FALSE,24
"185",2017.2,2021.3,192,FALSE,FALSE,49
"186",2017.4,2021.3,193,FALSE,FALSE,43
